809,yell,大声で叫ぶ
810,abandon,を捨てる
811,adjust,を適合させる
812,admire,に敬服する
813,advance,進出する
814,alert,に警報を出す
815,alter,を変える
816,associate,を結び付ける
817,assume,を想定する
818,award,を授与する
819,bake,を焼く
820,bend,を曲げる
821,bet,と断言する
822,betray,を裏切る
823,blame,に責任を負わせる
824,bleed,出血する
825,bloom,咲く
826,boil,をゆでる
827,bump,ぶつかる
828,burst,を破裂させる
829,calm,を静める
830,chase,を追う
831,chat,おしゃべりする
832,cheat,をだます
833,cheer,声援を送る
834,chew,かむ
835,chop,を刻む
836,click,クリックする
837,collapse,崩壊する
838,confess,を告白する
839,confirm,を確認する
840,congratulate,を称賛する
841,conquer,を征服する
842,consist,成り立つ
843,construct,を建設する
844,convert,を転換する
845,convince,を確信させる
846,count,を数える
847,debate,を討論する
848,declare,を宣言する
849,dedicate,をささげる
850,define,を定義する
851,delete,を削除する
852,demonstrate,を実証する
853,desire,を強く望む
854,direct,を向ける
855,distinguish,識別する
856,distribute ,を配給する
857,dive,ダイビングする
858,dominate,を支配する
859,drill,を開ける
860,drown,溺死する
861,ease,を和らげる
862,educate,を教育する
863,enable,に可能にさせる
864,endanger,を危険にさらす
865,engage,従事する
866,ensure,を保証する
867,entertain,を愉しませる
868,evaluate,を評価する
869,exaggerate,を誇張する
870,expire,有効期限が切れる
871,export,を輸出する
872,expose,をさらす
873,extend,を延長する
874,float,を浮かべる
875,illustrate,を例証する
876,imply,をほのめかす
877,indicate,を指摘する
878,insert,を挿入する
879,instruct,に指導する
880,insult,を侮辱する
881,interfere,邪魔する
882,interpret,を解釈する
883,irritate,をいらいらさせる
884,justify,を正当化する
885,launch,を打ち上げる
886,lay,（卵）を産む
887,lean,傾く
888,link,を関連付ける
889,manufacture,を製造する
890,march,行進する
891,master,を習得する
892,modify,を修正する
893,monitor,を監視する
894,motivate,（人）を動機づける
895,multiply,（数）に掛ける
896,oblige,（人）に余儀なくさせる
897,occupy,を占める
898,offend,（人）の感情を害する
899,overcome,を克服する
900,overlap,重なり合う
901,owe,を負う
902,panic,慌てふためく
903,perceive,を思う
904,permit,（人）に許可する
905,pile,を積み重ねる
906,polish,を磨く
907,pollute,を汚染する
908,postpone,を延期する
909,purify,を浄化する
910,puzzle,を悩ませる
911,rebuild,を改築する
912,recruit,（人）を採用する
913,reflect,を反射する
914,refrain,差し控える
915,reject,を拒絶する
916,reply,返答する
917,reproduce,繁殖する
918,rescue,を救う
919,resign,辞任する
920,resist,に抵抗する
921,review,を見返す
922,revise,を改訂する
923,revolve,回転する
924,rewrite,を書き換える
925,roast,を焼く
926,roll,転がる
927,ruin,を損なう
928,scratch,を引っかく
929,seek,を探し求める
930,settle,定住する
931,sigh,ため息をつく
932,skim,にざっと目を通す
933,slide,を滑らせる
934,sneeze,くしゃみをする
935,sniff,のにおいをかぐ
936,soak,をびしょぬれにする
937,split,を分ける
938,starve,飢える
939,stir,をかき回す
940,stock,を在庫として置いている
941,stretch,延びている
942,substitute,を代用する
943,suspect,（人）を疑う
944,suspend,を一時停止にする
945,tempt,（人）を誘惑する
946,tighten,をしっかり締める
947,trace,をたどる
948,transform,を変形させる
949,treasure,を大切にする
950,unpack,を開封する
951,upgrade,をグレードアップする
952,urge,に強く求める
953,utilize,を利用する
954,vote,投票する
955,wave,手を振る
956,whip,を泡立てる、むちで打つ
957,widen,の幅を広げる
958,background,背景
959,checkup,健康診断
960,childhood,子ども時代
961,comment,論評
962,container,容器
963,convenience,便利
964,crop,農作物
965,custom,習慣 c
966,electronics,電子機器
967,emotion,感情
968,extinction,絶滅
969,fiber,繊維
970,flavor,味
971,fossil,化石
972,fur,毛皮
973,gravity,重力
974,habit,習慣 h
975,habitat,生息地
976,housework,家事
977,instrument,楽器
978,issue,問題点
979,jam,渋滞
980,length,長さ
981,luxury,ぜいたく品
982,minister,大臣
983,navy,海軍
984,opportunity,機会
985,permission,許可
986,phenomenon,現象
987,politician,政治家
988,principal,校長
989,prison,刑務所
990,publicity,宣伝
991,quantity,量
992,rainforest,多雨林
993,religion,宗教
994,reputation,評判
995,response,反応
996,rhythm,律動的な動き、リズム
997,standard,水準
998,substance,物質
999,symbol,象徴
1000,target,標的
1001,temple,神殿
1002,wheel,車輪
1003,accuracy,正確さ
1004,acquaintance,知人
1005,affair,情勢
1006,agriculture,農業
1007,altitude,高地
1008,angle,角度
1009,anxiety,不安
1010,appetite,食欲
1011,applause,拍手
1012,architect,建築家
1013,aspect,側面
1014,attempt,試み
1015,attitude,態度
